City Name,Total Population,Median Income,Gini Index,White Proportion (in %),Household Size,Agriculture Employement (in %)
Danville town,42476,61315,0.4328,82.25586213,2.747832837,0.528563801
Daphnedale Park,21,,,100,2.333333333,
Darwin,15,,0.1462,100,1,
Davenport,295,35536,0.3393,94.23728814,2.543103448,0.99009901
Davis,65770,22003,0.5129,64.11585829,2.757305161,0.887828162
Day Valley,3963,31440,0.4891,88.61973253,2.924723247,3.595784253
Deer Park,1139,38750,0.466,93.94205443,2.514348786,5.103969754
Del Aire,10171,31301,0.4097,70.20941894,3.072809668,0
Delano,52792,13989,0.4156,65.82815578,5.012533232,37.67565515
Delft Colony,282,52659,0.6312,24.82269504,3.168539326,22.47191011
Delhi,9861,18663,0.354,53.55440625,3.6987997,15.95565196
Delleker,824,31026,0.4051,81.91747573,2.658064516,1.97740113
Del Mar,4207,70129,0.5652,99.19182315,2.041242115,0
Del Monte Forest,6577,24796,0.5122,84.55222746,3.391954616,2.889784946
Del Rey,1298,16696,0.4092,29.12172573,3.615598886,25.40983607
Del Rey Oaks,1779,34612,0.3713,79.93254637,2.758139535,1.048951049
Del Rio,1589,35882,0.5396,93.2032725,2.863063063,6.162790698
Denair,4737,27155,0.3995,93.56132573,3.174932976,10.92333059
Derby Acres,353,30521,0.4362,99.15014164,2.503546099,40.17857143
Descanso,1244,23889,0.4157,88.82636656,2.559670782,6.561085973
South Tahoe,172,18523,0.3769,75,2.422535211,0
Desert Edge,4579,17620,0.4213,76.96003494,1.924758302,0
Desert Hot Springs,27096,20446,0.4296,55.5063478,2.996350769,1.39287613
Desert Palms,6483,31579,0.4422,96.12833565,1.652140673,0
Desert Shores,1034,14899,0.301,79.01353965,3.577854671,38.06451613
Desert View Highlands,2176,20000,0.352,46.69117647,3.651006711,0
Diablo,1183,70990,0.5742,73.96449704,3.056847545,0
Diablo Grande,1010,45660,0.2994,80.0990099,2.893982808,3.687635575
Diamond Bar,55950,36473,0.3906,32.58266309,3.193675438,0.131401248
Diamond Springs,11639,25751,0.4149,90.9614228,2.639229025,1.971207087
Dillon Beach,70,36667,0.4776,87.14285714,1.428571429,0
Dinuba,22325,15870,0.408,76.04479283,3.923550088,25.89969153
Discovery Bay,13030,50033,0.4035,86.60015349,2.747785744,1.738410596
Dixon,18524,30909,0.3979,78.07708918,3.110663308,3.528872594
Dixon Lane-Meadow Creek,2404,26652,0.4015,93.30282862,2.238361266,1.986754967
Dobbins,260,28843,0.3392,64.23076923,1.733333333,0
Dogtown,2438,26264,0.4146,84.82362592,2.96593674,13.16062176
Dollar Point,982,30978,0.4367,99.59266802,2.332541568,0
Dorrington,515,24556,0.4156,92.23300971,2.035573123,0
Dorris,1034,17113,0.3647,83.7524178,2.880222841,23.60248447
Dos Palos,4998,18098,0.3375,76.8907563,3.301188904,25.35690007
Dos Palos Y,287,16538,0.4223,60.6271777,3.119565217,45.09803922
Douglas City,693,22344,0.4876,79.07647908,2.172413793,3.465346535
Downey,112334,26429,0.4062,59.92486691,3.432561266,0.351772392
Downieville,240,26771,0.429,100,2.526315789,0
Doyle,364,23929,0.4264,98.35164835,2.08,0
Drytown,267,21083,0.2449,50.18726592,3.068965517,9.027777778
Duarte,21499,24197,0.406,52.77919903,3.135793466,0.52698145
Dublin San Ramon,47642,51072,0.3598,55.36291507,3.067739858,0.549141696
Ducor,503,11362,0.3997,88.46918489,3.810606061,51.96078431
Dunnigan,1175,24661,0.3609,68.76595745,3.571428571,3.042596349
Dunsmuir,1492,18639,0.4323,89.81233244,2.086713287,1.525054466
Durham,5617,30684,0.4217,94.55225209,2.645784268,9.908536585
Dustin Acres,391,23487,0.3787,92.07161125,2.3,11.80124224
Dutch Flat,118,30833,0.2616,100,1.735294118,0
Eagleville,50,7500,0.5424,96,1.851851852,0
Earlimart,7607,13054,0.4014,82.83160247,4.022739291,55.03552027
East Foothills,6707,39391,0.4135,63.42627106,2.890948276,0.38277512
East Hemet,17684,22309,0.4329,75.06220312,3.387739464,1.803816339
Los Angeles County Public Works Waterworks District 29,127897,16917,0.4104,56.40241757,4.063059915,1.205746537
East Nicolaus,285,23125,0.4439,48.42105263,2.714285714,38.02816901
East Oakdale,2978,60814,0.3436,97.14573539,2.614574188,2.323420074
Easton,2115,22490,0.4618,58.77068558,3.065217391,9.147609148
East Orosi,320,12348,0.2568,74.0625,5,14.81481481
East Palo Alto,28597,21723,0.4447,54.50222051,3.981759955,1.07855763
East Pasadena,6055,27378,0.5931,59.30635838,2.908261287,0.785250939
East Porterville,6613,12328,0.4297,89.1879631,3.929292929,35.82089552
East Quincy,2560,26462,0.4019,86.9140625,2.210708117,7.031888798
East Rancho Dominguez,14183,17041,0.4152,39.87167736,4.671607378,1.446973707
East Richmond Heights,3576,34940,0.378,65.8836689,2.600727273,1.030337722
East San Gabriel,15784,33096,0.4691,32.23517486,3.076203469,0
East Shore,217,38929,0.3647,81.56682028,3.1,77.6
East Sonora,2081,19746,0.4886,90.34118212,1.856378234,2.586206897
East Tulare Villa,1285,21647,0.2509,88.94941634,3.858858859,22.1719457
Eastvale,61689,43225,0.3255,48.72991943,4.198815682,0.336858881
East Whittier,10528,32200,0.3829,75.79787234,3.163461538,0
Edgewood,30,15000,0.374,83.33333333,2.307692308,0
Edmundson Acres,177,20192,0.4017,72.88135593,3.277777778,25
Edna,161,33611,0.4695,100,2.037974684,12
Edwards AFB,2284,26206,0.2844,74.29947461,4.107913669,0
